Velocity,Lean,Pitch,Yaw,Status
30.74116,-18.35007,-1.784271,48.1937,Not Crashed
43.10896,-12.97806,-3.247498,13.21306,Not Crashed
12.85686,-22.77698,-2.677887,18.15626,Crashed
16.16635,-25.85406,0.4362992,26.74681,Not Crashed
24.94534,-38.91977,1.560826,123.4523,Not Crashed
43.072,-18.25409,-3.07782,179.3428,Not Crashed
53.24712,44.06134,-2.087585,159.3149,Not Crashed
39.77107,70.25852,-0.5363159,110.7751,Crashed
39.71457,38.53495,-1.701233,53.16849,Not Crashed
52.59579,4.357537,-2.008301,14.09353,Not Crashed
57.28127,-7.048492,-2.43454,6.820713,Not Crashed
58.24388,25.43103,-2.067444,-7.953583,Not Crashed
45.76624,15.19204,0.5512388,7.491761,Not Crashed
21.69111,44.09733,-3.137177,-126.5511,Not Crashed
47.67807,-25.09869,-2.536652,-114.7184,Not Crashed
55.4473,28.99699,-2.117737,-102.3435,Not Crashed
52.66812,21.19981,-0.6914978,-126.9817,Not Crashed
24.8332,70.13564,-1.644531,149.6721,Crashed
3.721032,-0.02755737,-0.7199402,131.1692,Not Crashed
1.0828,7.876856E-05,-0.8139954,131.1834,Not Crashed
2.295379,-0.0001416205,-2.531891,131.1826,Not Crashed
41.5293,-14.37372,-2.014435,170.5752,Not Crashed
52.65892,-55.02322,-0.1029358,-158.528,Not Crashed
52.92696,-70.15634,-0.3439636,-146.7025,Crashed
33.02114,25.98388,-1.130615,4.82794,Not Crashed
38.91055,42.74347,11.71122,-10.95801,Crashed
7.923838,0,0,-18.62378,Not Crashed
42.53028,-7.950623,-3.321777,13.27801,Not Crashed
51.59686,1.470692,-1.516113,5.787395,Not Crashed
46.37962,24.76985,-2.483978,-10.74591,Crashed
23.00795,0,0,5.92884,Not Crashed
22.05448,-41.03824,-3.131104,72.37514,Not Crashed
33.28028,-70.52682,-0.8228455,119.6175,Crashed
26.80181,-22.7753,-2.99585,121.5687,Not Crashed
32.21358,-18.86957,-3.721222,-148.8459,Not Crashed
35.55283,7.318087,0.2574945,-161.2518,Not Crashed
10.41066,0.3994623,-0.49646,-165.7699,Not Crashed
3.02266,0.0008700622,-0.7457275,-166.2059,Not Crashed
24.40559,-15.66333,-3.916534,-150.9585,Not Crashed
42.82073,70.40039,50.08696,-99.28427,Crashed
12.16778,-7.013336,-4.96994,-126.436,Not Crashed
17.26073,47.47252,-1.502533,116.1735,Not Crashed
13.7643,41.92955,1.130494,36.78695,Not Crashed
3.090636,70.00285,7.30298,12.98491,Crashed
37.38557,19.80073,-2.849579,-8.621735,Not Crashed
44.97533,70.25817,-0.9743652,-61.49493,Crashed
21.30296,-0.04431152,-0.04119873,-72.9343,Not Crashed
23.75691,-40.86603,-2.924072,-18.97656,Not Crashed
38.55427,-21.47205,-3.060394,70.55615,Not Crashed
50.85832,-70.16559,-3.600555,90.9762,Crashed
20.04407,34.26375,-3.190277,56.66817,Not Crashed
22.35139,40.18027,-2.270111,-60.21808,Not Crashed
47.92239,25.27078,-2.467865,-89.7468,Not Crashed
44.69752,70.19372,0.2200539,-105.1064,Crashed
7.471437,-5.850279E-07,-6.392654E-07,-114.7791,Not Crashed
20.19475,37.85857,-3.058411,-165.3599,Not Crashed
38.02436,0.04832149,-3.312531,116.2377,Not Crashed
16.33113,-31.02792,-2.348328,130.0372,Crashed
4.651605,-70.27563,-0.6185303,123.2889,Crashed
0.08016584,0.5285402,-0.2406921,96.68122,Not Crashed
32.32346,24.06394,-0.5978394,-0.07891846,Not Crashed
39.81384,71.72434,-8.086792,-8.477325,Crashed
28.1685,-26.37708,-1.334656,9.120848,Not Crashed
21.04667,-48.90509,-1.364044,26.54571,Crashed
27.02739,-12.22412,-3.564636,4.977145,Not Crashed
45.85487,-19.43823,-2.578278,-8.542633,Not Crashed
12.2753,-29.42493,-3.082397,-0.9156189,Crashed
14.53701,-71.42844,-1.500427,-16.15176,Crashed
26.66965,-18.50443,-2.627991,-2.353546,Not Crashed
39.46559,37.12621,-2.476105,-16.43292,Crashed
15.75235,-12.31024,-2.964325,4.178712,Not Crashed
42.07682,-40.42719,-2.352142,75.34735,Not Crashed
46.69184,-72.5752,-2.885162,74.78217,Crashed
10.24166,57.43736,2.259815,-155.3536,Not Crashed
12.32928,70.24461,3.969125,177.2685,Crashed
31.30397,25.4501,-3.564117,113.4189,Not Crashed
50.63679,-35.29926,-1.512421,114.6314,Not Crashed
14.92869,25.97421,-2.272247,111.0539,Crashed
14.59381,-18.84854,-2.693176,117.976,Not Crashed
14.9479,71.38853,3.381563,126.091,Crashed
23.56372,46.87588,-2.492065,-59.31317,Not Crashed
48.034,-15.88449,-2.529144,-83.05737,Not Crashed
55.36544,-27.5697,-2.230438,-52.00439,Not Crashed
42.24587,-31.21118,-2.095123,-45.86826,Crashed
16.33117,21.38104,1.447446,-58.06824,Not Crashed
19.11073,46.38671,-2.599762,154.7467,Not Crashed
34.08778,70.21796,-4.804169,108.8332,Crashed
17.39329,-7.995623E-07,-5.214039E-07,60.65223,Not Crashed
21.16372,45.64986,0.49426,-17.82971,Not Crashed
20.95294,40.20113,-3.438446,-151.436,Not Crashed
47.21056,-24.95007,-2.433228,-142.5892,Not Crashed
36.73798,55.97789,-2.160156,163.313,Not Crashed
37.7747,71.65614,-1.088928,-114.4262,Crashed
0.9649391,4.836989E-08,-1.404514E-08,-147.6166,Not Crashed
31.29355,21.04453,-3.827362,170.8333,Not Crashed
50.76673,-24.66522,-2.332581,-179.9444,Not Crashed
14.50308,-42.45886,-1.826874,-158.8808,Crashed
